STATE,YEAR,pm25
AL,2000,16.883714479922414
AL,2001,13.86472052748374
AL,2002,13.725559891037397
AL,2003,13.855676310615179
AL,2004,13.670881258011693
AL,2005,14.813664573131451
AL,2006,13.895369051898186
AL,2007,13.753539849906094
AL,2008,11.610798856141278
AL,2009,11.610798856141278
AL,2010,11.57733994664585
AL,2011,11.102992645590229
AL,2012,10.029938308684981
AL,2013,8.997407260271755
AL,2014,9.382145654178533
AL,2015,8.804739479391024
AL,2016,8.518221018033504
AR,2000,13.370421580214773
AR,2001,12.15419839662352
AR,2002,11.613237920189494
AR,2003,11.533869549405926
AR,2004,11.276884459389263
AR,2005,13.21039412040366
AR,2006,11.176770195186624
AR,2007,11.95058129297545
AR,2008,10.34012924563986
AR,2009,10.34012924563986
AR,2010,11.071588237847958
AR,2011,10.726136465689057
AR,2012,9.478579690684597
AR,2013,8.849479433015805
AR,2014,8.71148116488682
AR,2015,8.085110262562122
AR,2016,7.8460795995491965
AZ,2000,7.509018281302104
AZ,2001,7.152821287857751
AZ,2002,7.516474093814982
AZ,2003,6.85462681999433
AZ,2004,6.212806775329684
AZ,2005,6.1001700077928716
AZ,2006,6.294864913497924
AZ,2007,7.195495350703005
AZ,2008,6.90657621458563
AZ,2009,6.90657621458563
AZ,2010,5.477260232914143
AZ,2011,6.4275103662740225
AZ,2012,6.6844142396907165
AZ,2013,5.587834267215776
AZ,2014,5.630977450925614
AZ,2015,4.891893780589854
AZ,2016,4.862919602671691
CA,2000,12.883729528598897
CA,2001,13.109038728068326
CA,2002,13.293547276950369
CA,2003,12.047767682342494
CA,2004,11.546528539391346
CA,2005,10.393462912855725
CA,2006,10.37228930278956
CA,2007,10.369258769058796
CA,2008,10.7311425769792
CA,2009,10.7311425769792
CA,2010,8.273792290422094
CA,2011,8.738496027499636
CA,2012,8.476697169968418
CA,2013,8.9632012451048
CA,2014,8.447974010433908
CA,2015,8.24087997788243
CA,2016,7.134388427615405
CO,2000,6.160519015579055
CO,2001,6.476449566753317
CO,2002,6.4960903549202
CO,2003,6.343398128863328
CO,2004,5.678545415248841
CO,2005,5.902481605135948
CO,2006,5.862609845887574
CO,2007,6.362397347427445
CO,2008,5.478788213303611
CO,2009,5.478788213303611
CO,2010,5.177632839218645
CO,2011,5.121322988419359
CO,2012,5.509933620940599
CO,2013,5.344607530909212
CO,2014,5.023636541252704
CO,2015,5.0747386135252945
CO,2016,4.526675942551072
CT,2000,11.159048146898765
CT,2001,12.237002344162589
CT,2002,11.290181386024306
CT,2003,11.883622854641695
CT,2004,10.285468759977618
CT,2005,11.205561271936508
CT,2006,10.036357483271138
CT,2007,10.238629105303904
CT,2008,9.008689855662787
CT,2009,9.008689855662787
CT,2010,7.531813808112029
CT,2011,8.46938361416649
CT,2012,7.1921032866531975
CT,2013,7.709809234044413
CT,2014,7.089808681961736
CT,2015,7.375023709614805
CT,2016,6.044902876967888
DC,2000,15.698372146215043
DC,2001,16.540884845337768
DC,2002,15.459171881020072
DC,2003,14.571517213216103
DC,2004,14.552060899370447
DC,2005,14.384263526622815
DC,2006,13.341579070663148
DC,2007,12.511429186842633
DC,2008,12.006596656246886
DC,2009,12.006596656246886
DC,2010,10.942414700492062
DC,2011,10.169565357073141
DC,2012,9.753517566513372
DC,2013,9.298140479513199
DC,2014,8.418589986677883
DC,2015,8.00417422136268
DC,2016,7.6550746365957085
DE,2000,14.828981425546807
DE,2001,15.997269856729504
DE,2002,14.280799012418258
DE,2003,13.931513049874125
DE,2004,13.97076441287448
DE,2005,14.162958354595562
DE,2006,13.477125842264261
DE,2007,13.107457220476645
DE,2008,12.212697337934145
DE,2009,12.212697337934145
DE,2010,10.607044146061433
DE,2011,10.490415062114579
DE,2012,9.578386260084741
DE,2013,9.051054900613604
DE,2014,9.030365321958321
DE,2015,8.64466811932234
DE,2016,7.1400338197182025
FL,2000,11.181058760512531
FL,2001,9.899918710720435
FL,2002,9.0734574590216
FL,2003,9.133385555770642
FL,2004,9.762386245816568
FL,2005,9.613618944653275
FL,2006,9.08824820916812
FL,2007,8.942028734749478
FL,2008,7.742633113307329
FL,2009,7.742633113307329
FL,2010,7.901493327730414
FL,2011,8.746338006105882
FL,2012,7.085838267538152
FL,2013,6.199482148690313
FL,2014,6.5665920412671825
FL,2015,6.612142314513869
FL,2016,7.343071557421173
GA,2000,15.908975796385992
GA,2001,14.286393435252043
GA,2002,13.366514012215578
GA,2003,13.420869215444588
GA,2004,13.882014190210786
GA,2005,13.785149246996921
GA,2006,13.206723854966546
GA,2007,13.413752789023778
GA,2008,11.443326656923553
GA,2009,11.443326656923553
GA,2010,11.407889708778518
GA,2011,11.291376009649778
GA,2012,9.850775132728842
GA,2013,8.87562725341499
GA,2014,9.454849281926812
GA,2015,8.52966986883189
GA,2016,8.697793490211593
IA,2000,10.764176683557858
IA,2001,10.217814419787
IA,2002,10.503371860461167
IA,2003,10.860402185600257
IA,2004,9.804670301199936
IA,2005,11.213746598186107
IA,2006,9.35788102062387
IA,2007,11.164839375936172
IA,2008,9.838274995418843
IA,2009,9.838274995418843
IA,2010,10.249204313828086
IA,2011,9.449956766270686
IA,2012,8.673400393266137
IA,2013,8.71605635879855
IA,2014,8.449712324198508
IA,2015,8.027201277241446
IA,2016,7.0353060416636355
ID,2000,5.783655825167199
ID,2001,5.22947336913343
ID,2002,5.367686997168907
ID,2003,5.318997529672059
ID,2004,5.601390704063188
ID,2005,5.409681492170283
ID,2006,5.845374176313151
ID,2007,5.371438086383217
ID,2008,4.992116768180393
ID,2009,4.992116768180393
ID,2010,5.0516704399319865
ID,2011,5.433043183862398
ID,2012,7.223010437089174
ID,2013,5.691528929821271
ID,2014,4.940616743296635
ID,2015,6.044720576348004
ID,2016,4.09784058086159
IL,2000,14.889484789588494
IL,2001,14.358288714608381
IL,2002,13.933941725035625
IL,2003,13.81057223356757
IL,2004,12.799980373668706
IL,2005,14.332981628602814
IL,2006,12.319615198188394
IL,2007,13.494510541197336
IL,2008,11.364113942419372
IL,2009,11.364113942419372
IL,2010,11.519503733545006
IL,2011,10.647168556486385
IL,2012,9.70275947887131
IL,2013,9.77500573367318
IL,2014,10.38976447776331
IL,2015,9.205565830497882
IL,2016,7.730158532894461
IN,2000,15.692621436498154
IN,2001,15.210496293079153
IN,2002,15.049406102618596
IN,2003,14.773691419359116
IN,2004,13.62743814215967
IN,2005,15.255353429312937
IN,2006,12.955360599532392
IN,2007,14.005537230314161
IN,2008,11.895892390271845
IN,2009,11.895892390271845
IN,2010,12.606466786823503
IN,2011,11.670558310343068
IN,2012,10.42305292642364
IN,2013,10.464366201320706
IN,2014,10.887212223369747
IN,2015,9.626232291079193
IN,2016,7.875276824190695
KS,2000,10.587272005673206
KS,2001,9.67308376037677
KS,2002,9.69995860066935
KS,2003,10.18887030913909
KS,2004,9.089385099985721
KS,2005,10.417977827400446
KS,2006,8.599382520346136
KS,2007,10.04691042423505
KS,2008,8.810985937209114
KS,2009,8.810985937209114
KS,2010,8.687884269174974
KS,2011,8.758403226737467
KS,2012,8.170944561374947
KS,2013,8.072151270560873
KS,2014,8.017118350801777
KS,2015,7.046767610653411
KS,2016,6.132895815348716
KY,2000,15.091863313638006
KY,2001,14.547340787544588
KY,2002,14.518745482343393
KY,2003,13.472192012083555
KY,2004,12.405140850291072
KY,2005,13.791809329301342
KY,2006,12.29825724486668
KY,2007,13.722447188004434
KY,2008,11.005782908407978
KY,2009,11.005782908407978
KY,2010,11.349166395306138
KY,2011,10.2260478491189
KY,2012,9.63390611680453
KY,2013,8.753305734591393
KY,2014,9.243160603808501
KY,2015,8.567749819558214
KY,2016,7.358118688894087
LA,2000,12.9133076977196
LA,2001,11.592488780129072
LA,2002,10.81965417178922
LA,2003,11.630435232046375
LA,2004,11.298951745398012
LA,2005,12.654360286064756
LA,2006,11.948213978613992
LA,2007,10.914579384059461
LA,2008,9.892818074023122
LA,2009,9.892818074023122
LA,2010,10.106366026099094
LA,2011,9.831600522270215
LA,2012,9.076055250928166
LA,2013,8.176868419732934
LA,2014,8.116911322839282
LA,2015,8.584595628857768
LA,2016,8.695786435379764
MA,2000,9.854945895486047
MA,2001,11.175634194891915
MA,2002,10.293030108348583
MA,2003,9.88452686058286
MA,2004,9.274307997504332
MA,2005,9.99837502717041
MA,2006,8.970086196784857
MA,2007,9.158567557433997
MA,2008,8.382433213582603
MA,2009,8.382433213582603
MA,2010,7.277326139452625
MA,2011,7.713228088577329
MA,2012,6.885617240331144
MA,2013,7.132539216792206
MA,2014,6.192922560394506
MA,2015,5.924873622198675
MA,2016,5.4419204443784395
MD,2000,14.277243459121124
MD,2001,14.744317046337992
MD,2002,13.648196353270475
MD,2003,13.426515007588696
MD,2004,13.952035178994054
MD,2005,13.720597446823382
MD,2006,12.249914516609936
MD,2007,12.47586297177039
MD,2008,11.101459827323543
MD,2009,11.101459827323543
MD,2010,10.45133487642422
MD,2011,10.236016910840913
MD,2012,9.424076652237437
MD,2013,8.458373476315604
MD,2014,8.79885800058901
MD,2015,8.809547301416377
MD,2016,7.246283776797472
ME,2000,6.438808835311785
ME,2001,7.48354553705799
ME,2002,7.718473416165344
ME,2003,7.061036834562997
ME,2004,6.152703149635659
ME,2005,6.75285607055395
ME,2006,6.599529135763818
ME,2007,6.056358900280009
ME,2008,5.700811853228976
ME,2009,5.700811853228976
ME,2010,4.838935207117703
ME,2011,5.272609374160872
ME,2012,4.880084337192165
ME,2013,5.162362993073422
ME,2014,4.90551405137977
ME,2015,5.056299099419274
ME,2016,4.541436350005921
MI,2000,11.680363937442467
MI,2001,12.517253710399158
MI,2002,11.936800335183168
MI,2003,12.256859303847905
MI,2004,10.954472709498749
MI,2005,12.285978653987955
MI,2006,10.696901562020209
MI,2007,10.478410967274474
MI,2008,9.53564628315086
MI,2009,9.53564628315086
MI,2010,8.660729214038206
MI,2011,8.491592839351801
MI,2012,8.242526692916748
MI,2013,8.007637804058342
MI,2014,8.791379566151878
MI,2015,8.353435479563517
MI,2016,7.175332767549651
MN,2000,9.412772312294226
MN,2001,9.242405416148873
MN,2002,8.888204831635727
MN,2003,9.587980554018683
MN,2004,8.511730617217651
MN,2005,9.572221905026904
MN,2006,8.637265310169225
MN,2007,9.273731190884655
MN,2008,8.939280646447994
MN,2009,8.939280646447994
MN,2010,8.300964963952826
MN,2011,7.7475093062420175
MN,2012,6.716745445781675
MN,2013,6.241231011725718
MN,2014,6.444450365330487
MN,2015,6.139249727110875
MN,2016,5.601505181635709
MO,2000,12.88015795519455
MO,2001,11.925401018288541
MO,2002,12.365011109063117
MO,2003,12.20536140149254
MO,2004,11.092353997320783
MO,2005,13.05961161614648
MO,2006,10.906302970535906
MO,2007,12.163535277683783
MO,2008,10.43092063377159
MO,2009,10.43092063377159
MO,2010,10.050700201601535
MO,2011,9.908938419867473
MO,2012,8.785320436628178
MO,2013,8.837710170549023
MO,2014,8.911062997069347
MO,2015,7.992147422627475
MO,2016,7.128667751912029
MS,2000,14.228139898144876
MS,2001,12.025373105866514
MS,2002,11.699410389556292
MS,2003,12.26300522138843
MS,2004,12.00121352867773
MS,2005,13.278938495286697
MS,2006,12.09306791857597
MS,2007,12.036096815203805
MS,2008,10.783691416101584
MS,2009,10.783691416101584
MS,2010,10.988369383861144
MS,2011,10.967120869309982
MS,2012,9.849981514064424
MS,2013,8.27342764476129
MS,2014,8.732167821304392
MS,2015,8.701352738976201
MS,2016,8.47481220189504
MT,2000,5.703404215362491
MT,2001,4.7748383469822056
MT,2002,4.490477960698497
MT,2003,5.791267325021644
MT,2004,4.721417050506415
MT,2005,4.431044109841083
MT,2006,5.282488691091943
MT,2007,5.106085075260825
MT,2008,4.1639437147986715
MT,2009,4.1639437147986715
MT,2010,4.333355073408585
MT,2011,4.711073721545481
MT,2012,5.97252948534802
MT,2013,4.243046067038212
MT,2014,4.380635554484703
MT,2015,6.4669558515236565
MT,2016,3.9002315105030987
NC,2000,14.64418807931147
NC,2001,13.154395154280849
NC,2002,12.80668090690213
NC,2003,12.294767494998915
NC,2004,12.971169509415223
NC,2005,12.805877347371686
NC,2006,12.160801848475645
NC,2007,12.15901964497054
NC,2008,10.666703439986142
NC,2009,10.666703439986142
NC,2010,9.744562952085978
NC,2011,9.28259423854341
NC,2012,8.622147836731196
NC,2013,8.068916621861375
NC,2014,8.489637944874993
NC,2015,8.041696645943883
NC,2016,7.798784392216687
ND,2000,7.257440204944664
ND,2001,7.114610519617124
ND,2002,7.0233245171597485
ND,2003,7.8629672076983965
ND,2004,6.864006445819564
ND,2005,7.821641061992309
ND,2006,7.536174759455948
ND,2007,6.919129969472411
ND,2008,7.040176642832196
ND,2009,7.040176642832196
ND,2010,7.056195792742667
ND,2011,6.40979128564871
ND,2012,5.996240263682813
ND,2013,4.971270454755454
ND,2014,5.151021892470426
ND,2015,5.913654604582129
ND,2016,4.838489273217096
NE,2000,8.971461282082823
NE,2001,8.521129178362997
NE,2002,8.436763424000777
NE,2003,8.905709169299506
NE,2004,7.68490299263288
NE,2005,8.946908310634909
NE,2006,7.102966030326703
NE,2007,8.480824245129096
NE,2008,7.633766730192713
NE,2009,7.633766730192713
NE,2010,8.57336477422229
NE,2011,7.755208665776007
NE,2012,7.709130021260179
NE,2013,7.848724879800059
NE,2014,7.444054437534462
NE,2015,6.946843398197003
NE,2016,5.9178280858046906
NH,2000,7.254584074836518
NH,2001,8.192747405023395
NH,2002,8.496025667073795
NH,2003,7.682555798098915
NH,2004,6.881411970590598
NH,2005,7.872265005013697
NH,2006,7.577076584482993
NH,2007,7.5416465067752805
NH,2008,6.608150809941069
NH,2009,6.608150809941069
NH,2010,5.644753904311955
NH,2011,5.988797554899589
NH,2012,5.334006247804212
NH,2013,5.931759057527197
NH,2014,5.382142509442749
NH,2015,5.085774655315397
NH,2016,4.3807660428533675
NJ,2000,13.59475244018497
NJ,2001,13.754799318131857
NJ,2002,12.594764198787617
NJ,2003,13.55813494464764
NJ,2004,12.656411116987659
NJ,2005,12.89085304530855
NJ,2006,11.743707341300867
NJ,2007,12.121454265981649
NJ,2008,10.687276126800995
NJ,2009,10.687276126800995
NJ,2010,8.95106759095571
NJ,2011,9.518103210907686
NJ,2012,8.702663831341505
NJ,2013,8.885138569295588
NJ,2014,8.593780941121752
NJ,2015,8.314941112676625
NJ,2016,7.490629678944344
NM,2000,4.778529262503083
NM,2001,4.651583972847281
NM,2002,4.641829998974933
NM,2003,5.191647504016117
NM,2004,4.60809515107363
NM,2005,4.443101901008803
NM,2006,4.672960486972386
NM,2007,4.539487940867668
NM,2008,4.449265427872397
NM,2009,4.449265427872397
NM,2010,3.8321095322634444
NM,2011,4.839181944641452
NM,2012,5.187736970893889
NM,2013,4.777617759458041
NM,2014,4.1685394016302055
NM,2015,3.747127314892231
NM,2016,3.6834492209727205
NV,2000,5.776254772671005
NV,2001,6.097689520120722
NV,2002,6.655646819030275
NV,2003,5.9804573764727795
NV,2004,5.356580495241048
NV,2005,5.568311766179267
NV,2006,5.538827858624912
NV,2007,6.724249082655326
NV,2008,7.458918800527908
NV,2009,7.458918800527908
NV,2010,5.4142962368128345
NV,2011,5.5931481725237315
NV,2012,5.699425879080413
NV,2013,6.7287973905801435
NV,2014,5.59005417893351
NV,2015,5.335097209313862
NV,2016,4.6978054053967435
NY,2000,11.633355312434245
NY,2001,12.118577629733815
NY,2002,11.453975989496817
NY,2003,11.462866259806926
NY,2004,10.676556375354947
NY,2005,11.378173370906675
NY,2006,9.717581977930614
NY,2007,10.16915034652758
NY,2008,8.934482241277124
NY,2009,8.934482241277124
NY,2010,7.744353521889565
NY,2011,8.279418421426783
NY,2012,7.592668207037628
NY,2013,7.713109972667236
NY,2014,7.059627496530163
NY,2015,6.991156609834552
NY,2016,5.8106653887591335
OH,2000,15.979768498092282
OH,2001,15.792852208576694
OH,2002,15.625541289442236
OH,2003,15.061273200378059
OH,2004,14.2396411061136
OH,2005,15.123244329650678
OH,2006,12.979739888380001
OH,2007,13.983052318010273
OH,2008,11.795023242787654
OH,2009,11.795023242787654
OH,2010,12.2377924397449
OH,2011,11.345116321156631
OH,2012,10.40443333274268
OH,2013,10.070295353890229
OH,2014,10.461065528418882
OH,2015,9.747413218892733
OH,2016,8.085704497146056
OK,2000,10.444232360390517
OK,2001,10.009870625010821
OK,2002,9.618815368443023
OK,2003,10.268771316818231
OK,2004,9.586324614746289
OK,2005,10.706949693285123
OK,2006,9.060058843804905
OK,2007,10.541512413048755
OK,2008,9.853131622590613
OK,2009,9.853131622590613
OK,2010,9.88990907267095
OK,2011,9.539623875017185
OK,2012,8.889075280899181
OK,2013,8.476861166777413
OK,2014,8.303135728799292
OK,2015,7.030438257155163
OK,2016,7.32666080990532
OR,2000,5.864546245111917
OR,2001,5.203343579963778
OR,2002,5.630915871585991
OR,2003,5.730806863698325
OR,2004,5.563830431010961
OR,2005,5.411392605042516
OR,2006,5.674587856453662
OR,2007,5.112496451557839
OR,2008,5.245271866582358
OR,2009,5.245271866582358
OR,2010,4.164453147730147
OR,2011,5.509845378666235
OR,2012,5.557193888412987
OR,2013,5.814552696055757
OR,2014,5.185049657758532
OR,2015,6.285018777954325
OR,2016,4.1891235867938565
PA,2000,13.733629721250898
PA,2001,14.574737034297799
PA,2002,13.695937674025917
PA,2003,13.883831447540384
PA,2004,13.599487616554768
PA,2005,13.941612507381475
PA,2006,12.414593015030825
PA,2007,13.264753450082159
PA,2008,11.298206907028586
PA,2009,11.298206907028586
PA,2010,10.42132950534806
PA,2011,10.291945018038012
PA,2012,9.85433049467502
PA,2013,9.807577981748105
PA,2014,9.643823057257238
PA,2015,9.524660493774567
PA,2016,7.783666499704167
RI,2000,9.521401647122431
RI,2001,10.642113615712004
RI,2002,9.457801630089902
RI,2003,9.892263616102124
RI,2004,9.018736520705074
RI,2005,9.351130980802294
RI,2006,8.667043798937534
RI,2007,8.670671665809465
RI,2008,7.6880769948772025
RI,2009,7.6880769948772025
RI,2010,6.650625452769774
RI,2011,7.389085793121828
RI,2012,6.5684478373127515
RI,2013,6.781130421223506
RI,2014,5.632646096522911
RI,2015,6.81543469431729
RI,2016,5.844802684865665
SC,2000,14.324978148204215
SC,2001,12.705057297516891
SC,2002,12.27219899916934
SC,2003,11.896547353555084
SC,2004,12.852783357847006
SC,2005,12.865804047744978
SC,2006,12.304566750119427
SC,2007,12.346793022713866
SC,2008,10.830192812222137
SC,2009,10.830192812222137
SC,2010,10.31037873937622
SC,2011,10.208077719727227
SC,2012,8.860074931439684
SC,2013,8.077673728173874
SC,2014,8.453128935975002
SC,2015,7.653341101527355
SC,2016,7.988536935398538
SD,2000,7.974506683238597
SD,2001,7.7972770933353495
SD,2002,7.425428768368798
SD,2003,8.319030984745856
SD,2004,7.694214966504117
SD,2005,8.384822214232175
SD,2006,7.890077105888463
SD,2007,7.8022321832229435
SD,2008,7.158235184527654
SD,2009,7.158235184527654
SD,2010,7.265696751771853
SD,2011,6.30152560944268
SD,2012,6.36332809877186
SD,2013,6.1537451150763465
SD,2014,5.240674110155358
SD,2015,5.983466980785493
SD,2016,4.8672605374508064
TN,2000,15.599204752931847
TN,2001,14.10278576471863
TN,2002,13.76089564888991
TN,2003,13.195109060815328
TN,2004,12.698599318069101
TN,2005,14.02382077871256
TN,2006,12.898466052249189
TN,2007,13.314359682782973
TN,2008,11.241162310006713
TN,2009,11.241162310006713
TN,2010,11.146180638228675
TN,2011,10.942173604773583
TN,2012,9.920612482544332
TN,2013,8.68466160675245
TN,2014,8.891852333878708
TN,2015,8.045399859474069
TN,2016,7.781440648980025
TX,2000,10.741640385226713
TX,2001,10.050995657608972
TX,2002,10.42739198469214
TX,2003,11.522767827466168
TX,2004,10.974345164411503
TX,2005,11.497081306229713
TX,2006,11.015786387727964
TX,2007,10.985844260118432
TX,2008,10.57301598296427
TX,2009,10.57301598296427
TX,2010,9.724225548795241
TX,2011,9.85722392658975
TX,2012,9.74584352994076
TX,2013,9.176125668903836
TX,2014,8.93647084556374
TX,2015,8.459829086606225
TX,2016,7.853966888391743
UT,2000,6.192161175199042
UT,2001,6.7517740620766835
UT,2002,7.01693308346161
UT,2003,5.761333870544744
UT,2004,7.199250717941363
UT,2005,6.118642694057152
UT,2006,5.976267161589681
UT,2007,6.7476350577642785
UT,2008,6.053272788404769
UT,2009,6.053272788404769
UT,2010,5.910497787206379
UT,2011,5.503933007773403
UT,2012,5.826579518901995
UT,2013,6.94198819394354
UT,2014,5.060882514958365
UT,2015,4.887342478939791
UT,2016,5.0694550797304565
VA,2000,13.831117812085129
VA,2001,13.486251894981082
VA,2002,12.901013372117491
VA,2003,12.758599479638393
VA,2004,12.946720928938387
VA,2005,13.038851222484695
VA,2006,12.173908168086584
VA,2007,12.20087153799484
VA,2008,10.407139315608365
VA,2009,10.407139315608365
VA,2010,9.708435910653938
VA,2011,9.212819626130061
VA,2012,8.530516382128923
VA,2013,7.82289060499006
VA,2014,8.00493617909172
VA,2015,7.971248859629276
VA,2016,6.938423043970437
VT,2000,6.8692551071741015
VT,2001,7.738409633221335
VT,2002,8.375686604474065
VT,2003,7.218817703049752
VT,2004,6.7635525004690065
VT,2005,7.8300909788328745
VT,2006,6.970238892684714
VT,2007,7.527261300366536
VT,2008,6.64383356746197
VT,2009,6.64383356746197
VT,2010,5.8554438312492
VT,2011,6.152701235070211
VT,2012,5.52398265838638
VT,2013,5.702666957739633
VT,2014,5.127872426283599
VT,2015,4.990205700240569
VT,2016,4.393468366700693
WA,2000,8.19588698940336
WA,2001,6.815826676343031
WA,2002,6.845565720503619
WA,2003,6.677047839058124
WA,2004,6.513883868488533
WA,2005,5.692990060824469
WA,2006,6.260040877010054
WA,2007,5.799882263567344
WA,2008,5.71259656305314
WA,2009,5.71259656305314
WA,2010,4.734754268463402
WA,2011,5.471629732984307
WA,2012,5.432914799066877
WA,2013,5.5902239873965005
WA,2014,5.581408617507853
WA,2015,6.258161587769108
WA,2016,4.572633413563949
WI,2000,10.523014294707211
WI,2001,10.917800492382995
WI,2002,10.706757576888048
WI,2003,10.28029516948719
WI,2004,9.787103864848254
WI,2005,10.642656500289643
WI,2006,10.587410768657842
WI,2007,10.977325231462993
WI,2008,10.622393856498038
WI,2009,10.622393856498038
WI,2010,8.927514596782178
WI,2011,8.706175737485587
WI,2012,7.903366445481908
WI,2013,7.607348488407406
WI,2014,7.901960877917292
WI,2015,7.632813781550543
WI,2016,6.538968086884007
WV,2000,13.687055339977073
WV,2001,13.454924797433229
WV,2002,13.40921876338021
WV,2003,12.56536631962884
WV,2004,12.383962002657187
WV,2005,12.68201475815893
WV,2006,11.592097002704664
WV,2007,13.53522032625018
WV,2008,10.044639496272747
WV,2009,10.044639496272747
WV,2010,9.639961730868846
WV,2011,8.918398798654382
WV,2012,8.279640608124327
WV,2013,7.564410960606627
WV,2014,7.5921174571751955
WV,2015,7.387976841452462
WV,2016,6.45194042480713
WY,2000,4.485482708888337
WY,2001,4.448824035666919
WY,2002,4.471801342168275
WY,2003,4.723866558622216
WY,2004,4.125007230632076
WY,2005,4.013905891312191
WY,2006,4.702770910734939
WY,2007,4.530846661340454
WY,2008,4.067601043711055
WY,2009,4.067601043711055
WY,2010,3.4685436393193076
WY,2011,3.677788175681577
WY,2012,4.9179552226252365
WY,2013,3.7205035714450894
WY,2014,3.3494082941525654
WY,2015,3.616357325453855
WY,2016,3.5320692717429014
